seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy
1,2,2,2410,109,-76,-69,1,0,0
1,1,2,6660,274,-29,-15,1,0,0
2,2,1,26990,769,-20,-24,1,0,0
1,1,2,7560,513,-25,47,1,300,300
2,2,2,4690,126,-55,-65,2,0,0
1,1,2,15040,458,50,32,1,400,400
1,1,1,7430,196,-70,-61,1,0,0
1,2,1,20610,670,-41,-36,1,0,0
1,1,2,10040,216,7,-33,1,0,0
2,2,2,19200,418,131,149,1,0,0
1,1,2,7160,182,-13,-34,1,0,0
1,1,1,21760,250,-54,-48,1,600,400
2,1,1,45670,382,26,5,1,10800,5000
2,2,1,588930,1807,-50,-2,1,4000,4000
2,1,1,557510,1946,5,8,1,5800,5000
1,3,1,95180,1144,122,73,2,27000,20000
1,1,1,627380,3155,-1,54,1,800,800
1,1,1,18590,320,-34,-31,1,0,0
2,1,1,59360,1033,107,31,1,2400,2000
2,1,1,118110,1660,-34,-15,1,2000,2000
1,2,1,31390,376,-7,18,1,6000,4000
2,1,1,49510,521,89,27,1,0,0
1,1,1,538060,2075,-5,-11,1,900,700
1,2,1,31800,769,295,313,2,0,0
2,1,1,401730,1329,-32,-31,1,91700,90000
2,1,1,58850,679,113,-20,1,1300,800
2,2,1,690550,3915,28,29,1,34400,30000
2,2,1,39330,409,6,10,1,8200,6000
1,1,1,77740,758,182,57,1,1200,1000
2,2,1,29410,345,-6,7,1,114400,70000
1,2,2,1860,33,-78,-30,1,4000,4000
1,2,1,81410,441,-19,-56,1,10200,9000
1,1,2,65250,450,-74,-70,1,0,0
2,1,1,332180,1890,-33,-16,1,1000,1000
1,2,2,52000,134,44,97,1,0,0
1,2,1,715540,1471,-13,-4,1,900,600
2,1,1,99010,1360,82,62,1,4200,2000
2,1,1,788650,2361,18,17,1,6100,5000
1,1,2,4420,60,-2,28,1,0,0
2,2,1,49120,485,96,-3,1,0,0
1,1,1,447360,1332,-37,-33,1,8400,8000
1,1,1,25200,318,-20,-40,1,1000,1000
2,2,1,58460,540,73,1,1,3900,3000
1,1,2,4630,89,-56,-42,1,50,50
2,1,2,3250,68,-67,-54,1,30000,30000
1,2,1,61770,1062,31,90,1,10800,6000
2,1,1,20860,470,180,131,1,0,0
1,1,1,34600,389,-13,6,1,15000,8000
2,2,1,39700,805,-17,5,1,8700,5000
2,2,1,55200,1259,35,9,1,4000,4000
2,2,1,306400,2522,112,98,2,31000,30000
1,2,1,20160,243,-47,-36,1,2700,2000
2,1,1,40200,334,45,59,1,900,900
2,1,1,609620,2344,11,-22,1,900,500
2,2,1,46640,1439,88,116,1,0,0
1,1,1,40070,501,16,-11,1,0,0
1,2,1,1514120,1518,28,12,1,1900,1000
2,1,1,127110,1140,-12,-9,1,22600,20000
1,1,1,80210,525,18,32,1,2700,1000
1,3,1,67230,1155,57,75,2,3500,3000
1,2,1,28520,483,-19,5,2,1700,700
1,1,1,50090,699,-5,19,1,12600,7000
2,1,1,199030,1255,-30,-45,1,700,400
2,2,1,45330,648,72,40,2,900,600
2,2,1,42220,515,159,79,1,0,0
1,1,2,7290,185,-20,0,1,0,0
2,1,1,206610,1421,-7,1,1,4200,4000
2,1,1,372470,1848,-35,-22,1,70000,60000
1,1,1,32810,524,-3,-2,1,0,0
1,2,1,21060,242,-14,-42,1,0,0
1,2,1,14990,185,-49,-51,1,4500,4000
1,1,1,122640,979,10,21,1,9200,6000
1,2,1,64380,844,94,57,1,4200,3000
1,2,1,1061760,1443,-3,0,1,3000,3000
1,2,1,66030,812,112,52,1,0,0
1,1,1,46540,729,69,51,1,300,300
2,2,1,21220,540,-26,-14,2,0,0
2,2,1,36100,608,8,17,1,0,0
1,1,1,28000,572,115,119,1,0,0
1,2,1,32920,363,32,-27,1,0,0
2,2,2,10370,134,-44,-6,1,6300,4000
1,2,1,18820,396,-45,-28,1,0,0
2,1,1,166220,1762,7,20,1,0,0
2,1,1,167100,1690,-7,-6,1,7000,7000
2,1,1,38180,322,-6,0,1,11500,8000
1,1,1,79240,1381,124,47,1,0,0
1,1,1,20760,324,41,6,1,400,400
2,1,1,577770,2765,27,38,1,2000,2000
1,1,1,31250,430,-16,2,1,4000,2000
2,2,1,54610,527,95,84,1,14700,4000
2,1,1,36410,646,152,142,1,0,0
1,1,1,106610,546,26,43,1,20800,7000
1,1,2,7570,69,69,67,1,5000,5000
2,1,1,91510,768,-78,-69,1,5900,5000
1,1,1,107100,1003,-28,-21,1,1600,600
2,2,1,108750,384,96,-56,1,6200,3000
1,2,1,44770,770,-22,2,1,1000,1000
2,1,1,127010,1388,-30,-22,1,9000,5000
1,1,1,1766860,2899,32,18,1,0,0
1,2,1,34350,462,15,5,1,0,0
1,1,1,261010,1352,-38,-19,1,3700,3000
1,1,1,20250,157,-41,-39,1,2600,1000
1,1,1,18960,178,-38,-47,1,5800,5000
2,2,1,61620,1211,176,104,1,0,0
1,1,1,29150,259,0,18,1,600,600
2,1,1,19520,211,-2,6,1,3200,3000
2,1,1,932410,2464,47,28,1,36500,30000
1,1,1,1034700,1837,33,-6,1,2000,2000
2,2,1,83490,898,-49,-37,2,100300,100000
2,1,1,581540,2102,7,-23,1,6500,6000
2,1,1,11230,103,-65,-68,1,25200,20000
2,1,1,134890,1411,-10,9,1,6000,6000
1,1,1,509190,1758,-45,-15,1,2300,2000
2,2,1,13740,218,-55,-42,1,0,0
2,1,1,51230,944,-10,8,1,5000,3000
1,2,1,546980,2212,-3,-7,1,100,100
2,1,1,254750,2932,50,66,1,2000,2000
1,1,1,434360,1584,-38,-60,1,9000,6000
2,2,2,16930,792,121,234,1,200,200
1,1,1,268170,1352,-41,-35,1,400,400
2,2,1,34960,565,-27,2,1,14200,7000
1,1,1,189840,1276,-50,-45,1,17900,7000
2,1,1,320110,1844,54,35,1,20600,20000
1,1,2,6040,112,-44,-24,1,2400,2000
2,1,1,450490,1437,-30,-28,1,12700,4000
1,2,2,19320,320,106,118,2,2300,2000
2,1,1,388530,1539,-11,-11,1,3200,3000
2,1,1,25160,411,-20,-8,1,0,0
2,2,1,36100,285,-14,-19,1,14300,9000
2,2,1,61140,306,22,-69,1,89400,80000
